id,title,authority,local_government,source_type,canonical_url,status
a7d12a21-6479-5d8a-b767-8b66b1b4920c,5G Mobile Phone Networks Mobile phone carriers are currently upgrading 4G networks around Australia to 5G with many network upgrades already completed.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/5G-Mobile-Phone-Networks,active
ce956f02-e503-5bf4-8ed1-82687632f003,ABCB NCC editions index,Australian Building Codes Board,,index_page,https://ncc.abcb.gov.au/editions-national-construction-code,active
870bdab3-a72a-50cd-94f5-58640c0b5a32,Approved Scheme Amendments - Town Planning Scheme 3 Access approved Scheme Amendments and the associated documents. Approved Amendments are listed in order of their Amendment number.,City of Cockburn,Cockburn,local_planning_scheme,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Scheme/Approved-Scheme-Amendments-Town-Planning-Scheme,active
7cd1bfb5-cf4c-5d21-ab50-a1acdf4459a8,Approved Structure Plans,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-and-Development/Town-planning-and-development/Structure-plans/Approved-structure-plans,active
d1c766c3-52dd-53ec-bb1d-f0d6551b2023,"Australian Marine Complex Technology Precinct Structure Plan - WAPC Reference: SPN/0820 (PDF, 16.89MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-07/australian-marine-complex-technology-precinct-structure-plan-structure-plan-report.pdf,active
4a1143ab-3e58-5ac6-a643-fe324ab821a1,"Barfield Road Structure Plan - WAPC Reference SPN 0467M-5 (PDF, 97.22MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2025-03/barfield_road_structure_plan.pdf,active
028dad33-e6c5-5b60-8034-bfc217868504,Building Advice,City of Cockburn,Cockburn,planning_guidance,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Building-and-Planning-Advice,active
8bd56406-c0bf-53bc-9be9-3717b75570f2,Building and Planning Advice,City of Cockburn,Cockburn,planning_guidance,https://www.cockburn.wa.gov.au/Building-and-Development/Guidance-and-advice/Building-and-planning-advice,active
a1297dbf-7b78-4e2e-b1f6-c3232b782482,Bush Fire Prone Areas (OBRM-001),DFES / Office of Bushfire Risk Management (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Bush_Fire_Prone_Areas/MapServer/17,active
ccc61e30-b783-4147-9f0e-81f32b443f3c,Cadastre (No Attributes) (LGATE-001),Landgate (SLIP),,spatial_dataset,https://services.slip.wa.gov.au/public/rest/services/SLIP_Public_Services/Property_and_Planning/MapServer/2,active
fccf49e5-9871-5176-9a72-ebb96e6b93cb,"Cell 6 Yangebup/Beeliar Structure Plan Amendment No. 7 - WAPC Reference SPN 0510M-3 (PDF, 6.92MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2025-06/cell-6-yangebupbeeliar-structure-plan-amendment-no.7-wapc-reference-spn-0510m-3.pdf,active
8a805133-45f4-5c47-8073-ee6a6686ae06,"Cell 9 (Yangebup) & Cell 10 (Beeliar) Local Structure Plan - WAPC Reference SPN 0511M-2 (PDF, 2.41MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2025-06/cell-9-yangebup-cell-10-beeliar-local-structure-plan-wapc-reference-spn-0511m-2.pdf,active
b76bb2a5-82ba-5d2b-af8d-13163a855036,"Changing the name of North Coogee The City received a proposal to change the name of North Coogee, and supported its consideration by Landgate, who have determined the proposal is not compliant with the policy. The assessment proce...",City of Cockburn,Cockburn,local_planning_policy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Changing-the-name-of-Port-Coogee,active
745b3db1-0a82-5473-90af-1fadf99b594a,"City of Cockburn local planning strategy (PDF, 12.83MB)","Department of Planning, Lands and Heritage",Cockburn,local_planning_strategy,https://www.wa.gov.au/system/files/2024-10/city-of-cockburn-strategy_0.pdf,active
906aa45d-d152-5efe-af26-c25bd2d7cf5b,City of Cockburn planning information source anchor,"Department of Planning, Lands and Heritage",Cockburn,local_planning_scheme,https://www.wa.gov.au/government/document-collections/city-of-cockburn-planning-information,active
93843a1f-f4c8-5127-ae41-89a2a520d864,"Cockburn Central Activity Centre Strategy Find out about the road projects within the City, including the scope, aims, key issues and timeline of the Cockburn Central Activity Centre Strategy.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Local-Planning-Strategy-and-Key-Initiatives/Cockburn-Central-Activity-Centre-Strategy,active
f43210e0-2c95-5ecb-9410-178a0b48beae,"Cockburn Central North (Muriel Court) Local Structure Plan - WAPC Reference SPN/0801M-7 (PDF, 2.7MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-02/cockburn-central-north-muriel-court-local-structure-plan-wapc-reference-spn-0801m-7.pdf,active
35cdf74b-1364-5956-b2d9-64a0e62b4efa,"Cockburn Central Town Centre Structure Plan 23B - WAPC Reference SPN 0849 (PDF, 2.02MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-01/cockburn-central-town-centre-structure-plan-23b-wapc-reference-spn-0849.pdf,active
cdb7c3c7-272a-516e-a791-ff8453a048e0,"Cockburn Central West Structure Plan 23C - WAPC Reference SPN 0560M-1 (PDF, 15.91MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2023-12/cockburn-central-west-structure-plan-23c-wapc-reference-spn-0560m-1.pdf,active
421aaa9e-f77b-54bd-b41c-226b9db58652,"Cockburn Coast Emplacement Local Structure Plan 33B - WAPC Reference SPN/0478 (PDF, 17.64MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-02/cockburn-coast-emplacement-local-structure-plan-33b-wapc-reference-spn_0478.pdf,active
bbcd098d-2104-5624-8b26-e4be6ec1abef,"Cockburn Map Index (PDF, 704.96KB)","Department of Planning, Lands and Heritage",Cockburn,scheme_map,https://www.wa.gov.au/system/files/2021-10/LPSC-Cockburn-Map-Index_36215.pdf,active
85cb4564-bc38-52b1-b93c-ffe1e2ab8702,"Cockburn Scheme Text (PDF, 2.31MB)","Department of Planning, Lands and Heritage",Cockburn,local_planning_scheme,https://www.wa.gov.au/system/files/2026-05/cockburn3_schemetext.pdf,active
218105e4-f504-5bb8-8dcb-bbbb24b80461,Coogee Beach Master Plan,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects/Coogee-Beach-Master-Plan,active
8874a5bd-76fd-5476-b242-25cc5fef0c4a,"Coolbellup Revitalisation Strategy Find out about the Coolbellup Revitalisation Strategy to revive the suburb, including key issues, timeframe, infill development and who to contact.",City of Cockburn,Cockburn,local_planning_strategy,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Revitalisation-Strategies/Coolbellup-Revitalisation-Strategy,active
1176aed1-b1c5-51be-a21e-646b5287f123,"Coolbellup Town Centre Structure Plan - WAPC Reference SPN/0476 (PDF, 12.3MB)","Department of Planning, Lands and Heritage",Cockburn,structure_plan,https://www.wa.gov.au/system/files/2024-05/coolbellup-town-centre-structure-plan-wapc-reference-spn_0476.pdf,active
286862f8-b1b3-5550-b522-67c1106069fb,Current Development Assessment Panel applications,"Department of Planning, Lands and Heritage",Cockburn,source_document,https://www.wa.gov.au/government/document-collections/current-development-assessment-panel-applications-and-information,active
cf612fc4-67ac-5e17-82d2-306fb13e28b7,Current Development Projects,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-and-Development/Town-Planning-and-Development/Current-Development-Projects,active
0b8e4cf3-c0f5-53f9-9ee6-fe9913ac6494,Current Development Projects Find out about current projects being developed in the City of Cockburn.,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Structure-Plans/Current-Development-Projects,active
3e1a5cc5-92ed-563e-8a2e-3dd468f3d51a,Department of Planning - Local Development Plan Framework opens in a new window,"Department of Planning, Lands and Heritage",Cockburn,local_development_plan,https://www.planning.wa.gov.au/dop_pub_pdf/Local_Development_Plan_Framework.pdf,active
2946c7bd-0da2-584c-884b-363fe08fe779,Development Assessment Panel (DAP),City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Development-Assessment-Panel,active
4bb7d21a-22fb-592a-858c-b02d45f3f964,Discovery Parks lease at Coogee Beach Holiday Park Read information on the Discovery Parks lease at Coogee Beach Holiday Park.,City of Cockburn,Cockburn,source_document,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Planning-Projects/Discovery-Parks-lease-at-Coogee-Beach-Caravan-Park,active
09552cdf-cc1c-556c-b8d1-8695af6aeec1,District Structure Plans,City of Cockburn,Cockburn,structure_plan,https://www.cockburn.wa.gov.au/Building-Planning-and-Roads/Town-Planning-and-Development/Structure-Plans/District-Structure-Plans,active
8558c223-7ec5-50bd-9c69-2f2a80d684e4,DPLH Development control and operational policies index,Western Australian Planning Commission,,index_page,https://www.wa.gov.au/organisation/department-of-planning-lands-and-heritage/development-control-and-operational-policies,active
